,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
6,Sun,10/26/1930,A,Chicago Cardinals,13-23,L,,"Chicago, IL",Comiskey Park,8000,,Portsmouth Spartans,por
7,Sun,11/2/1930,A,Green Bay Packers,13-47,L,,"Green Bay, WI",City Stadium,7500,,Portsmouth Spartans,por
8,Wed,11/5/1930,H,New York Giants,6-19,L,,"Portsmouth, OH",Universal Stadium,7000,,Portsmouth Spartans,por
9,Sun,11/9/1930,A,Staten Island Stapletons,13-13,T,,"New York, NY",Thompson's Stadium,8000,,Portsmouth Spartans,por
10,Sat,11/15/1930,A,Frankford Yellow Jackets,6-7,L,,"Philadelphia, PA",Frankford Stadium,3500,,Portsmouth Spartans,por
11,Sun,11/16/1930,A,Providence Steam Roller,,-,,"Providence, RI",Providence Cycledrome,,Canceled,Portsmouth Spartans,por
12,Sun,11/23/1930,A,Newark Tornadoes,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Portsmouth Spartans,por
13,Sun,11/30/1930,A,Chicago Bears,6-14,L,,"Chicago, IL",Wrigley Field,6000,,Portsmouth Spartans,por
14,Sun,12/7/1930,H,Minneapolis Redjackets,42-0,W,,"Portsmouth, OH",Universal Stadium,3500,,Portsmouth Spartans,por
15,Sun,12/14/1930,H,Green Bay Packers,6-6,T,,"Portsmouth, OH",Universal Stadium,4500,,Portsmouth Spartans,por
0,Tue,9/23/1930,A,Newark Tornadoes,13-6,W,,"Newark, NJ",Newark Schools Stadium,2000,Moved from 9/24,Frankford Yellow Jackets,fra
1,Sat,9/27/1930,H,Staten Island Stapletons,7-3,W,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
2,Sun,9/28/1930,A,Staten Island Stapletons,0-21,L,,"New York, NY",Thompson's Stadium,6000,,Frankford Yellow Jackets,fra
3,Wed,10/1/1930,A,Providence Steam Roller,0-14,L,,"Providence, RI",Providence Cycledrome,3500,,Frankford Yellow Jackets,fra
4,Sat,10/4/1930,H,Newark Tornadoes,0-19,L,,"Philadelphia, PA",Frankford Stadium,5000,,Frankford Yellow Jackets,fra
5,Wed,10/8/1930,A,Portsmouth Spartans,7-39,L,,"Portsmouth, OH",Universal Stadium,,,Frankford Yellow Jackets,fra
6,Sun,10/12/1930,A,Green Bay Packers,12-27,L,,"Green Bay, WI",City Stadium,8000,,Frankford Yellow Jackets,fra
7,Sat,10/18/1930,H,Brooklyn Dodgers,7-14,L,,"Philadelphia, PA",Frankford Stadium,3000,,Frankford Yellow Jackets,fra
8,Sun,10/19/1930,A,New York Giants,0-53,L,,"New York, NY",Polo Grounds,12000,,Frankford Yellow Jackets,fra
9,Sat,10/25/1930,H,Chicago Cardinals,7-34,L,,"Philadelphia, PA",Frankford Stadium,,,Frankford Yellow Jackets,fra
10,Sun,10/26/1930,A,Chicago Bears,7-13,L,,"Chicago, IL",Wrigley Field,5000,,Frankford Yellow Jackets,fra
11,Sun,11/2/1930,A,Chicago Cardinals,0-6,L,,"Chicago, IL",Comiskey Park,3000,,Frankford Yellow Jackets,fra
12,Sat,11/8/1930,H,Providence Steam Roller,20-7,W,,"Philadelphia, PA",Frankford Stadium,4000,,Frankford Yellow Jackets,fra
