Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2019,ari,Opponents Totals,,,,,,79,105,78,59,
2019,roc,Team Totals,,,,,,48,138,91,58,6
2019,roc,Opponents Totals,,,,,,105,125,88,127,6
2019,lne,Team Totals,,,,,,37,94,48,87,0
2019,lne,Opponents Totals,,,,,,90,133,89,117,6
2019,lnyg,Team Totals,,,,,,108,83,101,84,
2019,lnyg,Opponents Totals,,,,,,56,116,64,77,
2019,ind,Team Totals,,,,,,88,136,74,109,
2019,ind,Opponents Totals,,,,,,71,95,77,60,
2019,oor,Team Totals,,,,,,37,80,108,55,
2019,oor,Opponents Totals,,,,,,53,85,44,116,
2019,cin,Team Totals,,,,,,102,92,57,87,3
2019,cin,Opponents Totals,,,,,,65,137,69,149,3
2019,nyj,Team Totals,,,,,,89,140,130,99,
2019,nyj,Opponents Totals,,,,,,60,88,81,112,
2019,gb,Team Totals,,,,,,77,81,64,153,6
2019,gb,Opponents Totals,,,,,,71,160,69,99,0
2019,lsf,Team Totals,,,,,,106,169,70,113,0
2019,lsf,Opponents Totals,,,,,,99,113,101,124,12
2019,sf,Team Totals,,,,,,60,96,83,101,
2019,sf,Opponents Totals,,,,,,109,130,128,103,
2019,lind,Team Totals,,,,,,106,135,112,126,0
2019,lind,Opponents Totals,,,,,,66,75,76,90,3
2019,bkn,Team Totals,,,,,,77,110,83,126,9
2019,bkn,Opponents Totals,,,,,,91,114,56,137,0
2019,lmia,Team Totals,,,,,,52,146,92,104,
2019,lmia,Opponents Totals,,,,,,65,116,70,113,
2019,lcle,Team Totals,,,,,,77,95,67,119,3
2019,lcle,Opponents Totals,,,,,,64,159,79,137,3
2020,ne,Team Totals,,,,,,90,175,92,144,
2020,ne,Opponents Totals,,,,,,49,97,101,128,
2020,lbuf,Team Totals,,,,,,103,118,57,133,
2020,lbuf,Opponents Totals,,,,,,55,118,74,91,
2020,lten,Team Totals,,,,,,38,104,82,102,
2020,lten,Opponents Totals,,,,,,69,115,86,83,
2020,bos,Team Totals,,,,,,59,67,64,53,
2020,bos,Opponents Totals,,,,,,100,141,103,113,
2020,phi,Team Totals,,,,,,62,154,68,132,
2020,phi,Opponents Totals,,,,,,54,115,66,77,
2020,dal,Team Totals,,,,,,118,147,99,104,0
2020,dal,Opponents Totals,,,,,,59,86,49,113,6
2020,pit,Team Totals,,,,,,63,157,65,123,
2020,pit,Opponents Totals,,,,,,78,100,93,148,
2020,stl,Team Totals,,,,,,61,107,53,90,
2020,stl,Opponents Totals,,,,,,76,121,98,129,
2020,c-p,Team Totals,,,,,,96,144,101,138,12
2020,c-p,Opponents Totals,,,,,,77,143,97,122,0
2020,si,Team Totals,,,,,,107,156,68,117,3
2020,si,Opponents Totals,,,,,,86,137,53,86,0
2020,atl,Team Totals,,,,,,60,124,82,118,0
2020,atl,Opponents Totals,,,,,,103,155,74,126,6
2020,ltb,Team Totals,,,,,,45,94,76,91,0
2020,ltb,Opponents Totals,,,,,,104,164,125,86,3
2020,col,Team Totals,,,,,,94,149,91,136,3
2020,col,Opponents Totals,,,,,,70,117,28,147,0
2020,lou,Team Totals,,,,,,78,134,77,142,3
2020,lou,Opponents Totals,,,,,,93,136,67,176,6
2020,was,Team Totals,,,,,,74,146,89,70,6
2020,was,Opponents Totals,,,,,,84,111,102,120,9
2020,lgb,Team Totals,,,,,,54,75,71,123,
2020,lgb,Opponents Totals,,,,,,74,151,78,143,
2020,lsea,Team Totals,,,,,,50,85,70,130,
2020,lsea,Opponents Totals,,,,,,86,152,39,61,
2020,ari,Team Totals,,,,,,74,72,56,58,
2020,ari,Opponents Totals,,,,,,72,113,58,114,
2020,roc,Team Totals,,,,,,77,130,67,121,
2020,roc,Opponents Totals,,,,,,121,153,69,130,
2020,lne,Team Totals,,,,,,62,103,58,111,
2020,lne,Opponents Totals,,,,,,88,119,97,114,
2020,lnyg,Team Totals,,,,,,80,219,103,107,0
2020,lnyg,Opponents Totals,,,,,,71,92,82,121,3
2020,ind,Team Totals,,,,,,72,122,48,130,0
2020,ind,Opponents Totals,,,,,,71,115,93,88,3
2020,oor,Team Totals,,,,,,93,82,115,137,3
2020,oor,Opponents Totals,,,,,,74,137,128,136,0
2020,cin,Team Totals,,,,,,95,96,77,109,
2020,cin,Opponents Totals,,,,,,109,161,98,151,
2020,nyj,Team Totals,,,,,,82,176,94,124,6
2020,nyj,Opponents Totals,,,,,,70,111,68,88,0
2020,gb,Team Totals,,,,,,88,157,112,135,
2020,gb,Opponents Totals,,,,,,100,117,77,61,
2020,lsf,Team Totals,,,,,,89,107,59,96,
2020,lsf,Opponents Totals,,,,,,85,117,80,120,
2020,sf,Team Totals,,,,,,91,131,70,104,
2020,sf,Opponents Totals,,,,,,68,100,96,150,
2020,lind,Team Totals,,,,,,86,128,118,127,0
2020,lind,Opponents Totals,,,,,,66,90,65,147,3
2020,bkn,Team Totals,,,,,,81,101,87,103,
2020,bkn,Opponents Totals,,,,,,66,123,47,60,
2020,lmia,Team Totals,,,,,,98,109,90,110,3
2020,lmia,Opponents Totals,,,,,,72,128,70,97,0
2020,lcle,Team Totals,,,,,,89,84,77,126,
2020,lcle,Opponents Totals,,,,,,68,111,83,128,
