Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2013,lsea,Team Totals,89,121,110,122,,,,,,
2013,lsea,Opponents Totals,60,97,100,125,,,,,,
2013,ari,Team Totals,91,125,98,125,,,,,,
2013,ari,Opponents Totals,67,119,108,138,,,,,,
2013,roc,Team Totals,46,90,80,75,3,,,,,
2013,roc,Opponents Totals,61,136,87,99,0,,,,,
2013,lne,Team Totals,47,114,82,85,6,,,,,
2013,lne,Opponents Totals,126,141,91,120,9,,,,,
2013,lnyg,Team Totals,78,105,113,118,3,,,,,
2013,lnyg,Opponents Totals,79,103,115,128,3,,,,,
2013,ind,Team Totals,96,124,90,132,3,,,,,
2013,ind,Opponents Totals,112,147,97,119,3,,,,,
2013,oor,Team Totals,48,136,90,121,0,,,,,
2013,oor,Opponents Totals,61,120,60,132,3,,,,,
2013,cin,Team Totals,82,108,85,110,6,,,,,
2013,cin,Opponents Totals,105,125,114,133,3,,,,,
2013,nyj,Team Totals,64,115,86,101,,,,,,
2013,nyj,Opponents Totals,31,79,54,77,,,,,,
2013,gb,Team Totals,86,155,70,103,,,,,,
2013,gb,Opponents Totals,87,112,46,59,,,,,,
2013,lsf,Team Totals,79,122,56,93,3,,,,,
2013,lsf,Opponents Totals,54,169,93,1270,0,,,,,
2013,sf,Team Totals,80,125,33,50,0,,,,,
2013,sf,Opponents Totals,64,140,76,106,3,,,,,
2013,lind,Team Totals,69,140,87,115,6,,,,,
2013,lind,Opponents Totals,22,108,41,60,9,,,,,
2013,bkn,Team Totals,97,121,71,117,,,,,,
2013,bkn,Opponents Totals,31,86,36,119,,,,,,
2013,lmia,Team Totals,49,122,93,112,3,,,,,
2013,lmia,Opponents Totals,94,89,41,100,3,,,,,
2013,lcle,Team Totals,67,101,80,100,,,,,,
2013,lcle,Opponents Totals,79,100,85,100,,,,,,
2014,ne,Team Totals,78,183,101,106,,,,,,
2014,ne,Opponents Totals,66,100,85,62,,,,,,
2014,lbuf,Team Totals,65,88,80,107,3,,,,,
2014,lbuf,Opponents Totals,49,90,75,75,0,,,,,
2014,lten,Team Totals,53,108,137,90,,,,,,
2014,lten,Opponents Totals,74,74,85,130,,,,,,
2014,bos,Team Totals,82,83,55,63,0,,,,,
2014,bos,Opponents Totals,99,128,84,84,6,,,,,
2014,phi,Team Totals,65,167,52,152,,,,,,
2014,phi,Opponents Totals,77,104,88,99,,,,,,
2014,dal,Team Totals,67,112,90,93,3,,,,,
2014,dal,Opponents Totals,57,65,102,117,3,,,,,
2014,pit,Team Totals,76,96,91,146,,,,,,
2014,pit,Opponents Totals,63,79,60,100,,,,,,
2014,stl,Team Totals,56,85,82,76,,,,,,
2014,stl,Opponents Totals,53,119,53,112,,,,,,
2014,c-p,Team Totals,87,141,122,108,,,,,,
2014,c-p,Opponents Totals,54,124,90,101,,,,,,
2014,si,Team Totals,69,111,88,104,0,,,,,
2014,si,Opponents Totals,58,99,64,83,3,,,,,
2014,atl,Team Totals,60,59,46,84,,,,,,
2014,atl,Opponents Totals,63,148,86,115,,,,,,
2014,ltb,Team Totals,40,94,73,47,,,,,,
2014,ltb,Opponents Totals,105,110,97,126,,,,,,
2014,col,Team Totals,91,151,131,109,0,,,,,
2014,col,Opponents Totals,56,126,57,109,6,,,,,
2014,lou,Team Totals,61,107,77,108,,,,,,
2014,lou,Opponents Totals,58,103,69,51,,,,,,
2014,was,Team Totals,51,115,93,86,3,,,,,
2014,was,Opponents Totals,53,137,86,72,0,,,,,
