Year,Team,Totals,TD,YDS,AVG,LG,NO,FC,TB,G20+,G40+,FUM,OB,RET,RETY,OSA,OSR
1962,har,Team Totals,0,169,8.9,60,19,19,,,,,,,,,
1962,har,Opponents Totals,0,119,6.6,,18,,,,,,,,,,
1962,llarm,Team Totals,0,111,5.6,13,20,18,,,,,,,,,
1962,llarm,Opponents Totals,0,121,8.1,38,15,16,,,,,,,,,
1962,min,Team Totals,0,184,6.3,33,29,11,,,,,,,,,
1962,min,Opponents Totals,0,34,4.9,,7,,,,,,,,,,
1962,larm,Team Totals,0,81,4.8,17,17,15,,,,,,,,,
1962,larm,Opponents Totals,0,190,6.8,21,28,14,,,,,,,,,
1962,bal,Team Totals,0,134,6.7,21,20,23,,,,,,,,,
1962,bal,Opponents Totals,0,122,4.7,,26,,,,,,,,,,
1962,lten,Team Totals,0,95,6.8,38,14,11,,,,,,,,,
1962,lten,Opponents Totals,0,174,7.3,60,24,18,,,,,,,,,
1962,dul,Team Totals,0,290,9.4,65,31,12,,,,,,,,,
1962,dul,Opponents Totals,1,183,9.2,85t,20,6,,,,,,,,,
1962,atl,Team Totals,0,502,12.9,44,39,11,,,,,,,,,
1962,atl,Opponents Totals,0,326,10.5,,31,,,,,,,,,,
1962,ham,Team Totals,1,281,7.2,33,39,11,,,,,,,,,
1962,ham,Opponents Totals,0,308,9.6,,32,,,,,,,,,,
1962,jac,Team Totals,0,272,8.0,56,34,15,,,,,,,,,
1962,jac,Opponents Totals,0,182,7.9,48,23,,,,,,,,,,
1962,lind,Team Totals,1,207,7.7,85t,27,13,,,,,,,,,
1962,lind,Opponents Totals,0,285,8.9,31,32,5,,,,,,,,,
1962,was,Team Totals,0,374,11.0,46,34,5,,,,,,,,,
1962,was,Opponents Totals,0,261,8.2,65,32,15,,,,,,,,,
1962,col,Team Totals,0,252,9.3,48,27,12,,,,,,,,,
1962,col,Opponents Totals,1,567,10.3,,55,,,,,,,,,,
1963,lkc,Team Totals,0,364,9.1,83,40,19,,,,,,,,,
1963,lkc,Opponents Totals,0,283,8.8,82,32,12,,,,,,,,,
1963,har,Team Totals,0,285,11.4,55,25,16,,,,,,,,,
1963,har,Opponents Totals,0,216,9.8,29,22,16,,,,,,,,,
1963,llarm,Team Totals,0,166,6.4,49,26,26,,,,,,,,,
1963,llarm,Opponents Totals,0,294,11.8,,25,,,,,,,,,,
1963,min,Team Totals,0,281,9.1,82,31,18,,,,,,,,,
1963,min,Opponents Totals,0,287,9.9,,29,,,,,,,,,,
1963,larm,Team Totals,0,177,7.7,45,23,9,,,,,,,,,
1963,larm,Opponents Totals,0,176,4.9,26,36,13,,,,,,,,,
1963,bal,Team Totals,0,391,13.0,45,30,8,,,,,,,,,
1963,bal,Opponents Totals,0,161,6.4,,25,,,,,,,,,,
1963,lten,Team Totals,0,226,8.7,26,26,9,,,,,,,,,
1963,lten,Opponents Totals,0,451,13.3,83,34,13,,,,,,,,,
1963,dul,Team Totals,0,277,9.2,42,30,13,,,,,,,,,
1963,dul,Opponents Totals,0,277,8.1,,34,,,,,,,,,,
1963,atl,Team Totals,0,229,8.8,41,26,16,,,,,,,,,
1963,atl,Opponents Totals,0,220,7.6,32,29,10,,,,,,,,,
1963,ham,Team Totals,0,485,9.2,50,53,7,,,,,,,,,
1963,ham,Opponents Totals,0,119,6.3,23,19,,,,,,,,,,
1963,jac,Team Totals,1,635,11.1,90t,57,14,,,,,,,,,
1963,jac,Opponents Totals,0,319,11.0,,29,,,,,,,,,,
1963,lind,Team Totals,1,405,11.6,60t,35,10,,,,,,,,,
1963,lind,Opponents Totals,0,155,5.7,50,27,21,,,,,,,,,
1963,was,Team Totals,0,206,6.6,29,31,16,,,,,,,,,
1963,was,Opponents Totals,0,681,11.4,,60,,,,,,,,,,
1963,col,Team Totals,0,99,5.5,51,18,19,,,,,,,,,
1963,col,Opponents Totals,2,587,11.7,90t,50,5,,,,,,,,,
1964,lkc,Team Totals,1,303,15.2,68t,20,13,,,,,,,,,
1964,lkc,Opponents Totals,0,183,9.2,53,20,8,,,,,,,,,
1964,har,Team Totals,1,251,10.5,68t,24,25,,,,,,,,,
1964,har,Opponents Totals,0,151,5.8,,26,,,,,,,,,,
1964,llarm,Team Totals,0,201,7.2,53,28,20,,,,,,,,,
1964,llarm,Opponents Totals,0,333,9.5,68,35,18,,,,,,,,,
1964,min,Team Totals,0,230,7.2,68,32,14,,,,,,,,,
1964,min,Opponents Totals,0,362,7.2,,50,,,,,,,,,,
1964,larm,Team Totals,1,459,11.5,69t,40,16,,,,,,,,,
1964,larm,Opponents Totals,0,52,2.7,24,19,29,,,,,,,,,
1964,bal,Team Totals,0,238,7.9,90,30,14,,,,,,,,,
1964,bal,Opponents Totals,0,172,7.2,,24,,,,,,,,,,
1964,lten,Team Totals,0,193,6.9,31,28,13,,,,,,,,,
1964,lten,Opponents Totals,2,559,14.0,90,40,10,,,,,,,,,
1964,dul,Team Totals,0,453,9.4,39,48,10,,,,,,,,,
1964,dul,Opponents Totals,1,175,7.0,65t,25,,,,,,,,,,
1964,atl,Team Totals,1,443,13.0,65t,34,18,,,,,,,,,
1964,atl,Opponents Totals,2,397,12.8,70t,31,9,,,,,,,,,
1964,ham,Team Totals,0,306,8.7,45,35,9,,,,,,,,,
1964,ham,Opponents Totals,0,247,8.2,57,30,17,,,,,,,,,
1964,jac,Team Totals,2,411,11.7,68t,35,11,,,,,,,,,
1964,jac,Opponents Totals,0,243,7.4,,33,,,,,,,,,,
1964,lind,Team Totals,0,181,5.3,22,34,20,,,,,,,,,
1964,lind,Opponents Totals,0,360,8.4,,43,,,,,,,,,,
1964,was,Team Totals,0,219,7.3,44,30,5,,,,,,,,,
1964,was,Opponents Totals,0,436,12.5,,35,,,,,,,,,,
1964,col,Team Totals,1,322,7.5,70t,43,13,,,,,,,,,
1964,col,Opponents Totals,2,540,10.8,68t,50,5,,,,,,,,,
1965,lkc,Team Totals,2,427,11.9,67t,36,19,,,,,,,,,
1965,lkc,Opponents Totals,0,259,7.2,67,36,7,,,,,,,,,
1965,har,Team Totals,0,312,8.0,47,39,7,,,,,,,,,
1965,har,Opponents Totals,1,139,5.3,67t,26,24,,,,,,,,,
1965,llarm,Team Totals,0,35,1.5,17,24,9,,,,,,,,,
1965,llarm,Opponents Totals,0,137,6.2,41,22,23,,,,,,,,,
1965,min,Team Totals,1,415,10.6,57t,39,6,,,,,,,,,
1965,min,Opponents Totals,0,138,4.6,,30,,,,,,,,,,
1965,larm,Team Totals,1,183,8.7,63t,21,13,,,,,,,,,
1965,larm,Opponents Totals,0,263,7.1,47,37,9,,,,,,,,,
1965,bal,Team Totals,0,27,1.2,13,23,24,,,,,,,,,
1965,bal,Opponents Totals,0,267,8.3,,32,,,,,,,,,,
1965,lten,Team Totals,0,259,7.8,67,33,17,,,,,,,,,
1965,lten,Opponents Totals,2,437,9.9,,44,,,,,,,,,,
1965,dul,Team Totals,0,65,3.0,14,22,17,,,,,,,,,
1965,dul,Opponents Totals,0,290,8.1,62,36,11,,,,,,,,,
1965,atl,Team Totals,0,421,9.4,55,45,11,,,,,,,,,
1965,atl,Opponents Totals,0,198,7.6,44,26,,,,,,,,,,
1965,ham,Team Totals,1,289,10.0,85t,29,13,,,,,,,,,
1965,ham,Opponents Totals,0,123,5.6,,22,14,,,,,,,,,
1965,jac,Team Totals,0,283,7.4,40,38,18,,,,,,,,,
1965,jac,Opponents Totals,1,408,12.4,85t,33,7,,,,,,,,,
1965,lind,Team Totals,1,115,5.2,17,22,19,,,,,,,,,
1965,lind,Opponents Totals,1,261,9.0,55,29,6,,,,,,,,,
1965,was,Team Totals,0,358,10.5,42,34,19,,,,,,,,,
1965,was,Opponents Totals,1,318,8.2,,39,,,,,,,,,,
1965,col,Team Totals,0,225,7.0,22,32,8,,,,,,,,,
1965,col,Opponents Totals,1,176,7.0,,25,,,,,,,,,,
1966,lkc,Team Totals,0,258,6.3,38,41,12,,,,,,,,,
1966,lkc,Opponents Totals,1,108,4.2,67,26,26,,,,,,,,,
1966,har,Team Totals,0,146,6.1,52,24,21,,,,,,,,,
1966,har,Opponents Totals,0,111,4.8,38,23,15,,,,,,,,,
1966,llarm,Team Totals,1,162,5.2,67t,31,13,,,,,,,,,
1966,llarm,Opponents Totals,1,300,9.7,86t,31,15,,,,,,,,,
1966,min,Team Totals,1,316,7.9,86t,40,25,,,,,,,,,
1966,min,Opponents Totals,0,159,6.4,,25,,,,,,,,,,
1966,larm,Team Totals,1,201,6.9,58,29,12,,,,,,,,,
1966,larm,Opponents Totals,0,248,6.2,,40,,,,,,,,,,
1966,bal,Team Totals,0,43,2.0,12,21,28,,,,,,,,,
1966,bal,Opponents Totals,0,242,5.8,,42,,,,,,,,,,
1966,lten,Team Totals,0,100,5.6,23,18,4,,,,,,,,,
1966,lten,Opponents Totals,1,197,5.6,77t,35,23,,,,,,,,,
1966,dul,Team Totals,0,120,5.5,21,22,17,,,,,,,,,
1966,dul,Opponents Totals,1,218,8.1,52t,27,13,,,,,,,,,
1966,atl,Team Totals,1,215,5.8,77t,37,15,,,,,,,,,
1966,atl,Opponents Totals,0,171,5.7,29,30,15,,,,,,,,,
1966,ham,Team Totals,0,357,7.9,64,45,11,,,,,,,,,
1966,ham,Opponents Totals,0,130,4.3,24,30,8,,,,,,,,,
1966,jac,Team Totals,0,341,7.6,49,45,11,,,,,,,,,
1966,jac,Opponents Totals,0,269,5.5,,49,,,,,,,,,,
1966,lind,Team Totals,1,238,5.3,44t,45,16,,,,,,,,,
1966,lind,Opponents Totals,1,368,11.2,79t,33,13,,,,,,,,,
1966,was,Team Totals,0,97,3.9,27,25,23,,,,,,,,,
1966,was,Opponents Totals,1,250,5.4,80,46,16,,,,,,,,,
1966,col,Team Totals,1,396,10.4,79t,38,13,,,,,,,,,
1966,col,Opponents Totals,0,98,3.6,,27,,,,,,,,,,
1966,tol,Team Totals,0,129,4.2,76,31,22,,,,,,,,,
1966,tol,Opponents Totals,0,250,8.9,64,28,9,,,,,,,,,
1967,lkc,Team Totals,1,320,9.7,69t,33,18,,,,,,,,,
1967,lkc,Opponents Totals,0,266,7.2,41,37,15,,,,,,,,,
1967,har,Team Totals,0,158,5.4,30,29,9,,,,,,,,,
1967,har,Opponents Totals,0,130,3.9,26,33,14,,,,,,,,,
1967,llarm,Team Totals,0,203,6.0,51,34,20,,,,,,,,,
1967,llarm,Opponents Totals,0,234,6.5,,36,,,,,,,,,,
1967,min,Team Totals,0,79,3.4,13,23,21,,,,,,,,,
1967,min,Opponents Totals,0,261,7.5,,35,,,,,,,,,,
1967,larm,Team Totals,1,357,10.2,52t,35,14,,,,,,,,,
1967,larm,Opponents Totals,0,70,2.4,12,29,21,,,,,,,,,
1967,bal,Team Totals,0,102,4.6,19,22,14,,,,,,,,,
1967,bal,Opponents Totals,0,214,10.2,81,21,20,,,,,,,,,
1967,lten,Team Totals,0,198,5.8,33,34,30,,,,,,,,,
1967,lten,Opponents Totals,1,79,3.3,,24,,,,,,,,,,
1967,dul,Team Totals,0,143,4.8,26,30,19,,,,,,,,,
1967,dul,Opponents Totals,1,277,7.1,,39,,,,,,,,,,
1967,atl,Team Totals,0,328,6.6,39,50,14,,,,,,,,,
1967,atl,Opponents Totals,0,240,7.3,51,33,8,,,,,,,,,
1967,ham,Team Totals,1,323,7.7,43t,42,10,,,,,,,,,
1967,ham,Opponents Totals,0,144,6.9,40,21,6,,,,,,,,,
1967,jac,Team Totals,0,314,9.0,57,35,9,,,,,,,,,
1967,jac,Opponents Totals,1,175,6.0,58t,29,18,,,,,,,,,
1967,lind,Team Totals,0,94,3.8,26,25,8,,,,,,,,,
1967,lind,Opponents Totals,0,408,7.6,39,54,17,,,,,,,,,
1967,was,Team Totals,0,157,4.0,43,39,13,,,,,,,,,
1967,was,Opponents Totals,0,22,1.7,10,13,27,,,,,,,,,
1967,col,Team Totals,1,194,8.8,58t,22,28,,,,,,,,,
1967,col,Opponents Totals,0,168,4.1,,41,19,,,,,,,,,
1967,tol,Team Totals,0,97,2.9,18,34,20,,,,,,,,,
1967,tol,Opponents Totals,1,323,8.5,,38,,,,,,,,,,
1967,ltb,Team Totals,0,107,3.1,81,35,24,,,,,,,,,
1967,ltb,Opponents Totals,0,163,4.2,57,39,21,,,,,,,,,
1968,lkc,Team Totals,0,96,4.0,29,24,11,,,,,,,,,
1968,lkc,Opponents Totals,0,120,5.7,17,21,26,,,,,,,,,
1968,har,Team Totals,1,356,11.5,86t,31,21,,,,,,,,,
1968,har,Opponents Totals,1,266,7.4,,36,,,,,,,,,,
1968,llarm,Team Totals,1,153,4.5,53t,34,14,,,,,,,,,
1968,llarm,Opponents Totals,1,320,10.7,,30,,,,,,,,,,
1968,min,Team Totals,1,308,8.1,80t,38,14,,,,,,,,,
1968,min,Opponents Totals,2,297,9.3,,32,,,,,,,,,,
1968,larm,Team Totals,2,405,13.5,90t,30,24,,,,,,,,,
1968,larm,Opponents Totals,0,125,5.0,48,25,16,,,,,,,,,
1968,bal,Team Totals,0,101,5.1,28,20,21,,,,,,,,,
1968,bal,Opponents Totals,1,174,7.6,63t,23,18,,,,,,,,,
1968,lten,Team Totals,0,194,6.7,25,29,4,,,,,,,,,
1968,lten,Opponents Totals,2,485,10.8,,45,,,,,,,,,,
1968,dul,Team Totals,1,264,11.0,54t,24,11,,,,,,,,,
1968,dul,Opponents Totals,0,270,8.2,43,33,11,,,,,,,,,
1968,atl,Team Totals,0,350,8.3,27,42,16,,,,,,,,,
1968,atl,Opponents Totals,0,62,3.3,14,19,16,,,,,,,,,
1968,ham,Team Totals,0,307,7.0,40,44,21,,,,,,,,,
1968,ham,Opponents Totals,1,206,6.9,54,30,29,,,,,,,,,
1968,jac,Team Totals,0,120,3.3,26,36,21,,,,,,,,,
1968,jac,Opponents Totals,0,238,7.7,27,31,23,,,,,,,,,
1968,lind,Team Totals,0,66,4.1,17,16,16,,,,,,,,,
1968,lind,Opponents Totals,0,286,6.2,32,46,13,,,,,,,,,
1968,was,Team Totals,1,250,8.3,98t,30,18,,,,,,,,,
1968,was,Opponents Totals,0,204,7.0,21,29,15,,,,,,,,,
1968,col,Team Totals,0,81,4.3,18,19,23,,,,,,,,,
1968,col,Opponents Totals,0,120,4.3,40,28,19,,,,,,,,,
1968,tol,Team Totals,1,238,5.5,52t,43,17,,,,,,,,,
1968,tol,Opponents Totals,0,66,3.5,16,19,20,,,,,,,,,
1968,ltb,Team Totals,0,89,4.7,18,19,28,,,,,,,,,
1968,ltb,Opponents Totals,0,139,4.3,,32,,,,,,,,,,
1969,lkc,Team Totals,0,183,5.7,21,32,15,,,,,,,,,
1969,lkc,Opponents Totals,0,72,3.6,55,20,21,,,,,,,,,
1969,har,Team Totals,0,50,3.3,11,15,22,,,,,,,,,
1969,har,Opponents Totals,2,449,11.0,86t,41,14,,,,,,,,,
1969,llarm,Team Totals,0,201,5.3,35,38,11,,,,,,,,,
1969,llarm,Opponents Totals,0,158,4.5,30,35,18,,,,,,,,,
1969,min,Team Totals,0,165,4.5,23,37,13,,,,,,,,,
1969,min,Opponents Totals,1,396,9.7,,41,,,,,,,,,,
1969,larm,Team Totals,0,273,7.2,50,38,15,,,,,,,,,
1969,larm,Opponents Totals,0,305,7.1,28,43,7,,,,,,,,,
1969,bal,Team Totals,1,190,7.3,86t,26,11,,,,,,,,,
1969,bal,Opponents Totals,0,324,9.0,,36,,,,,,,,,,
1969,lten,Team Totals,0,217,7.2,30,30,12,,,,,,,,,
1969,lten,Opponents Totals,0,176,6.5,,27,,,,,,,,,,
1969,dul,Team Totals,0,219,6.1,37,36,10,,,,,,,,,
1969,dul,Opponents Totals,0,93,4.4,30,21,24,,,,,,,,,
1969,atl,Team Totals,0,556,9.6,52,58,14,,,,,,,,,
1969,atl,Opponents Totals,0,181,5.0,19,36,13,,,,,,,,,
1969,ham,Team Totals,0,192,5.2,14,37,15,,,,,,,,,
1969,ham,Opponents Totals,0,182,5.2,22,35,6,,,,,,,,,
1969,jac,Team Totals,0,82,3.2,15,26,12,,,,,,,,,
1969,jac,Opponents Totals,0,171,4.5,52,38,14,,,,,,,,,
1969,lind,Team Totals,0,63,2.9,18,22,22,,,,,,,,,
1969,lind,Opponents Totals,0,293,7.5,50,39,14,,,,,,,,,
1969,was,Team Totals,0,266,5.9,55,45,26,,,,,,,,,
1969,was,Opponents Totals,0,237,7.0,30,34,17,,,,,,,,,
1969,col,Team Totals,1,230,11.0,74t,21,23,,,,,,,,,
1969,col,Opponents Totals,0,133,4.3,,31,,,,,,,,,,
1969,tol,Team Totals,1,287,9.0,83t,32,17,,,,,,,,,
1969,tol,Opponents Totals,0,62,3.4,15,18,25,,,,,,,,,
1969,ltb,Team Totals,0,164,5.5,27,30,9,,,,,,,,,
1969,ltb,Opponents Totals,0,106,3.8,24,28,,,,,,,,,,
1970,lkc,Team Totals,1,351,9.8,80t,36,26,,,,,,,,,
1970,lkc,Opponents Totals,1,365,9.6,77t,38,9,,,,,,,,,
1970,har,Team Totals,1,295,9.8,77t,30,15,,,,,,,,,
1970,har,Opponents Totals,1,241,12.1,80t,20,25,,,,,,,,,
1970,llarm,Team Totals,0,150,5.8,21,26,20,,,,,,,,,
1970,llarm,Opponents Totals,0,380,9.0,62,42,16,,,,,,,,,
1970,min,Team Totals,0,298,6.6,54,45,9,,,,,,,,,
1970,min,Opponents Totals,0,291,6.9,45,42,23,,,,,,,,,
1970,larm,Team Totals,0,305,9.5,62,32,9,,,,,,,,,
1970,larm,Opponents Totals,0,303,7.2,54,42,16,,,,,,,,,
1970,bal,Team Totals,1,327,8.8,79t,37,28,,,,,,,,,
1970,bal,Opponents Totals,2,392,8.2,63t,48,11,,,,,,,,,
1970,lten,Team Totals,0,236,6.9,38,34,16,,,,,,,,,
1970,lten,Opponents Totals,0,83,3.6,33,23,28,,,,,,,,,
1970,dul,Team Totals,0,281,5.5,52,51,19,,,,,,,,,
1970,dul,Opponents Totals,0,304,6.0,31,51,11,,,,,,,,,
1970,atl,Team Totals,0,257,6.3,33,41,16,,,,,,,,,
1970,atl,Opponents Totals,0,441,8.5,38,52,16,,,,,,,,,
1970,ham,Team Totals,1,308,8.3,63t,37,21,,,,,,,,,
1970,ham,Opponents Totals,0,303,7.6,41,40,24,,,,,,,,,
1970,jac,Team Totals,0,371,12.0,60,31,28,,,,,,,,,
1970,jac,Opponents Totals,0,414,8.1,36,51,8,,,,,,,,,
1970,lind,Team Totals,0,173,5.6,17,31,15,,,,,,,,,
1970,lind,Opponents Totals,1,312,9.2,79t,34,20,,,,,,,,,
1970,was,Team Totals,0,556,8.8,45,63,13,,,,,,,,,
1970,was,Opponents Totals,0,416,7.4,60,56,16,,,,,,,,,
1970,col,Team Totals,0,237,7.4,34,32,17,,,,,,,,,
1970,col,Opponents Totals,1,281,7.4,74t,38,12,,,,,,,,,
1970,tol,Team Totals,1,193,6.7,45t,29,23,,,,,,,,,
1970,tol,Opponents Totals,0,61,2.9,24,21,14,,,,,,,,,
1970,ltb,Team Totals,1,315,7.7,74t,41,24,,,,,,,,,
1970,ltb,Opponents Totals,0,90,3.5,13,26,20,,,,,,,,,
1970,lmin,Team Totals,0,45,1.7,9,27,15,,,,,,,,,
1970,lmin,Opponents Totals,0,259,7.4,24,35,13,,,,,,,,,
1970,c-p,Team Totals,0,100,3.1,16,32,10,,,,,,,,,
1970,c-p,Opponents Totals,1,163,7.4,52,22,22,,,,,,,,,
1970,chit,Team Totals,0,216,6.2,53,35,15,,,,,,,,,
1970,chit,Opponents Totals,1,322,8.5,75t,38,7,,,,,,,,,
1970,nyj,Team Totals,1,306,9.0,65,34,14,,,,,,,,,
1970,nyj,Opponents Totals,0,113,3.9,24,29,12,,,,,,,,,
1970,dal,Team Totals,0,246,4.3,15,57,5,,,,,,,,,
1970,dal,Opponents Totals,0,268,6.7,76,40,19,,,,,,,,,
1970,latl,Team Totals,0,98,3.9,12,25,20,,,,,,,,,
1970,latl,Opponents Totals,0,338,8.5,65,40,11,,,,,,,,,
1970,lbuf,Team Totals,0,550,11.5,76,48,12,,,,,,,,,
1970,lbuf,Opponents Totals,0,180,4.7,16,38,21,,,,,,,,,
1970,stl,Team Totals,0,418,6.7,49,62,17,,,,,,,,,
1970,stl,Opponents Totals,0,181,5.7,59,32,15,,,,,,,,,
1970,det,Team Totals,2,356,10.5,77t,34,13,,,,,,,,,
1970,det,Opponents Totals,0,267,6.7,40,40,22,,,,,,,,,
1970,lac,Team Totals,0,214,7.4,41,29,13,,,,,,,,,
1970,lac,Opponents Totals,1,434,10.6,77,41,22,,,,,,,,,
1971,lkc,Team Totals,0,432,10.5,47,41,21,,,,,,,,,
1971,lkc,Opponents Totals,0,106,4.1,29,26,14,,,,,,,,,
1971,har,Team Totals,0,351,8.2,65,43,34,,,,,,,,,
1971,har,Opponents Totals,0,267,6.7,20,40,14,,,,,,,,,
1971,llarm,Team Totals,0,181,5.8,50,31,17,,,,,,,,,
1971,llarm,Opponents Totals,1,279,7.8,68t,36,14,,,,,,,,,
1971,min,Team Totals,0,155,6.2,19,25,14,,,,,,,,,
1971,min,Opponents Totals,0,359,8.8,65,41,21,,,,,,,,,
1971,larm,Team Totals,2,343,7.8,68t,44,11,,,,,,,,,
1971,larm,Opponents Totals,0,446,11.2,50,40,16,,,,,,,,,
1971,bal,Team Totals,0,359,9.0,74,40,6,,,,,,,,,
1971,bal,Opponents Totals,0,227,8.7,45,26,19,,,,,,,,,
1971,lten,Team Totals,1,264,7.5,67t,35,18,,,,,,,,,
1971,lten,Opponents Totals,0,319,7.1,47,45,16,,,,,,,,,
1971,dul,Team Totals,0,198,6.2,31,32,21,,,,,,,,,
1971,dul,Opponents Totals,0,304,7.8,34,39,12,,,,,,,,,
1971,atl,Team Totals,0,145,5.8,47,25,29,,,,,,,,,
1971,atl,Opponents Totals,1,304,7.4,67,41,8,,,,,,,,,
1971,ham,Team Totals,0,150,4.5,23,33,20,,,,,,,,,
1971,ham,Opponents Totals,0,286,7.2,27,40,6,,,,,,,,,
1971,jac,Team Totals,0,182,6.3,34,29,10,,,,,,,,,
1971,jac,Opponents Totals,0,168,6.5,30,26,22,,,,,,,,,
1971,lind,Team Totals,0,215,5.8,19,37,13,,,,,,,,,
1971,lind,Opponents Totals,0,40,2.0,12,20,17,,,,,,,,,
1971,was,Team Totals,0,320,7.8,28,41,4,,,,,,,,,
1971,was,Opponents Totals,0,468,10.4,74,45,14,,,,,,,,,
1971,col,Team Totals,0,248,8.0,42,31,14,,,,,,,,,
1971,col,Opponents Totals,0,231,8.9,43,26,15,,,,,,,,,
1971,tol,Team Totals,0,427,9.5,33,45,19,,,,,,,,,
1971,tol,Opponents Totals,0,87,5.1,50,17,25,,,,,,,,,
1971,ltb,Team Totals,0,172,7.2,50,24,16,,,,,,,,,
1971,ltb,Opponents Totals,0,372,9.3,36,40,11,,,,,,,,,
1971,lmin,Team Totals,0,234,7.8,34,30,16,,,,,,,,,
1971,lmin,Opponents Totals,1,160,6.7,61t,24,21,,,,,,,,,
1971,c-p,Team Totals,0,122,6.4,15,19,24,,,,,,,,,
1971,c-p,Opponents Totals,0,319,6.4,33,50,8,,,,,,,,,
1971,chit,Team Totals,0,164,6.1,36,27,30,,,,,,,,,
1971,chit,Opponents Totals,0,336,7.1,33,47,17,,,,,,,,,
1971,nyj,Team Totals,0,194,8.4,38,23,9,,,,,,,,,
1971,nyj,Opponents Totals,0,111,6.2,15,18,6,,,,,,,,,
1971,dal,Team Totals,0,262,7.3,43,36,9,,,,,,,,,
1971,dal,Opponents Totals,0,172,5.5,38,31,22,,,,,,,,,
1971,latl,Team Totals,0,177,4.7,30,38,5,,,,,,,,,
1971,latl,Opponents Totals,0,169,7.3,38,23,12,,,,,,,,,
1971,lbuf,Team Totals,0,268,6.9,38,39,12,,,,,,,,,
1971,lbuf,Opponents Totals,0,44,2.3,10,19,17,,,,,,,,,
1971,stl,Team Totals,0,172,4.9,28,35,20,,,,,,,,,
1971,stl,Opponents Totals,0,67,2.5,21,27,20,,,,,,,,,
1971,det,Team Totals,0,174,4.7,32,37,8,,,,,,,,,
1971,det,Opponents Totals,0,117,4.5,19,26,21,,,,,,,,,
1971,lac,Team Totals,0,100,6.3,14,16,16,,,,,,,,,
1971,lac,Opponents Totals,0,251,5.8,28,43,11,,,,,,,,,
1972,lkc,Team Totals,0,329,8.2,27,40,11,,,,,,,,,
1972,lkc,Opponents Totals,0,67,3.9,13,17,11,,,,,,,,,
1972,har,Team Totals,1,242,9.7,65t,25,18,,,,,,,,,
1972,har,Opponents Totals,0,239,10.4,42,23,9,,,,,,,,,
1972,llarm,Team Totals,0,348,8.1,42,43,19,,,,,,,,,
1972,llarm,Opponents Totals,0,204,7.0,27,29,13,,,,,,,,,
1972,min,Team Totals,0,164,6.6,27,25,18,,,,,,,,,
1972,min,Opponents Totals,1,329,8.4,65,39,17,,,,,,,,,
1972,larm,Team Totals,0,37,2.2,27,17,8,,,,,,,,,
1972,larm,Opponents Totals,1,366,10.8,59,34,24,,,,,,,,,
1972,bal,Team Totals,0,262,8.7,54,30,20,,,,,,,,,
1972,bal,Opponents Totals,0,169,4.6,30,37,10,,,,,,,,,
1972,lten,Team Totals,0,211,5.7,41,37,18,,,,,,,,,
1972,lten,Opponents Totals,0,357,7.8,60,46,21,,,,,,,,,
1972,dul,Team Totals,2,437,9.3,66t,47,21,,,,,,,,,
1972,dul,Opponents Totals,0,152,5.8,54,26,16,,,,,,,,,
1972,atl,Team Totals,0,163,4.8,33,34,10,,,,,,,,,
1972,atl,Opponents Totals,1,299,9.6,85t,31,27,,,,,,,,,
1972,ham,Team Totals,0,66,2.8,14,24,10,,,,,,,,,
1972,ham,Opponents Totals,0,215,7.7,41,28,11,,,,,,,,,
1972,jac,Team Totals,0,126,4.3,29,29,15,,,,,,,,,
1972,jac,Opponents Totals,0,328,8.6,37,38,4,,,,,,,,,
1972,lind,Team Totals,1,310,11.1,65t,28,8,,,,,,,,,
1972,lind,Opponents Totals,1,249,8.9,66t,28,19,,,,,,,,,
1972,was,Team Totals,0,185,8.0,21,23,17,,,,,,,,,
1972,was,Opponents Totals,1,157,9.2,65t,17,11,,,,,,,,,
1972,col,Team Totals,0,159,4.7,28,34,22,,,,,,,,,
1972,col,Opponents Totals,0,39,2.1,13,19,29,,,,,,,,,
1972,tol,Team Totals,0,134,4.8,21,28,23,,,,,,,,,
1972,tol,Opponents Totals,0,41,2.7,14,15,26,,,,,,,,,
1972,ltb,Team Totals,0,125,6.9,48,18,22,,,,,,,,,
1972,ltb,Opponents Totals,0,171,6.3,28,27,3,,,,,,,,,
1972,lmin,Team Totals,0,61,3.8,22,16,15,,,,,,,,,
1972,lmin,Opponents Totals,0,144,3.9,18,37,22,,,,,,,,,
1972,c-p,Team Totals,0,179,6.6,60,27,9,,,,,,,,,
1972,c-p,Opponents Totals,0,137,5.3,48,26,28,,,,,,,,,
1972,chit,Team Totals,2,364,14.6,85t,25,23,,,,,,,,,
1972,chit,Opponents Totals,0,225,7.0,33,32,6,,,,,,,,,
1972,nyj,Team Totals,0,100,5.6,26,18,14,,,,,,,,,
1972,nyj,Opponents Totals,1,321,12.3,80t,26,6,,,,,,,,,
1972,dal,Team Totals,0,159,6.1,23,26,21,,,,,,,,,
1972,dal,Opponents Totals,0,317,9.1,31,35,4,,,,,,,,,
1972,latl,Team Totals,0,178,6.4,29,28,6,,,,,,,,,
1972,latl,Opponents Totals,0,126,5.3,32,24,26,,,,,,,,,
1972,lbuf,Team Totals,0,373,8.5,41,44,9,,,,,,,,,
1972,lbuf,Opponents Totals,0,70,3.5,34,20,25,,,,,,,,,
1972,stl,Team Totals,0,194,7.2,34,27,16,,,,,,,,,
