Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1922,jac,Opponents Totals,16,36,0,19,,,,,,,,,
1922,lind,Team Totals,6,19,12,32,,,,,,,,,
1922,lind,Opponents Totals,55,21,68,46,,,,,,,,,
1922,was,Team Totals,,,,,,,,,,,,,
1922,was,Opponents Totals,,,,,,,,,,,,,
1922,col,Team Totals,0,6,7,6,,,,,,,,,
1922,col,Opponents Totals,7,12,0,21,,,,,,,,,
1922,tol,Team Totals,0,6,6,12,,,,,,,,,
1922,tol,Opponents Totals,29,48,44,53,,,,,,,,,
1922,ltb,Team Totals,,,,,,,,,,,,,
1922,ltb,Opponents Totals,,,,,,,,,,,,,
1922,lmin,Team Totals,0,0,0,0,,,,,,,,,
1922,lmin,Opponents Totals,16,17,21,15,,,,,,,,,
1922,c-p,Team Totals,0,0,13,0,,,,,,,,,
1922,c-p,Opponents Totals,7,19,13,37,,,,,,,,,
1923,lkc,Team Totals,43,60,65,78,,,,,,,,,
1923,lkc,Opponents Totals,9,3,7,0,,,,,,,,,
1923,har,Team Totals,37,44,7,35,,,,,,,,,
1923,har,Opponents Totals,0,13,16,13,,,,,,,,,
1923,llarm,Team Totals,18,10,36,21,,,,,,,,,
1923,llarm,Opponents Totals,0,20,7,7,,,,,,,,,
1923,min,Team Totals,,,,,,,,,,,,,
1923,min,Opponents Totals,12,7,26,11,,,,,,,,,
1923,larm,Team Totals,3,13,23,13,,,,,,,,,
1923,larm,Opponents Totals,6,14,13,16,,,,,,,,,
1923,bal,Team Totals,,,,,,,,,,,,,
1923,bal,Opponents Totals,12,7,10,27,,,,,,,,,
1923,lten,Team Totals,3,16,13,3,,,,,,,,,
1923,lten,Opponents Totals,3,10,3,17,,,,,,,,,
1923,dul,Team Totals,19,25,,,,,,,,,,,
1923,dul,Opponents Totals,0,23,2,18,,,,,,,,,
1923,atl,Team Totals,35,47,6,31,,,,,,,,,
1923,atl,Opponents Totals,6,9,10,10,,,,,,,,,
1923,ham,Team Totals,3,22,30,31,,,,,,,,,
1923,ham,Opponents Totals,20,21,6,29,,,,,,,,,
1923,jac,Team Totals,6,0,7,22,,,,,,,,,
1923,jac,Opponents Totals,17,18,10,21,,,,,,,,,
1923,lind,Team Totals,17,24,9,34,,,,,,,,,
1923,lind,Opponents Totals,7,21,14,20,,,,,,,,,
1923,was,Team Totals,0,28,13,7,,,,,,,,,
1923,was,Opponents Totals,3,15,42,21,,,,,,,,,
1923,col,Team Totals,7,7,0,0,,,,,,,,,
1923,col,Opponents Totals,7,7,25,0,,,,,,,,,
1923,tol,Team Totals,0,0,0,14,,,,,,,,,
1923,tol,Opponents Totals,15,10,14,20,,,,,,,,,
1923,ltb,Team Totals,0,10,8,7,,,,,,,,,
1923,ltb,Opponents Totals,10,38,10,16,,,,,,,,,
