Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1968,col,Team Totals,68,95,27,60,,,,,,,,,
1968,col,Opponents Totals,68,137,60,68,,,,,,,,,
1968,tol,Team Totals,68,61,95,57,,,,,,,,,
1968,tol,Opponents Totals,55,66,43,63,,,,,,,,,
1968,ltb,Team Totals,61,38,61,47,,,,,,,,,
1968,ltb,Opponents Totals,54,57,44,86,,,,,,,,,
1969,lkc,Team Totals,77,117,70,87,,,,,,,,,
1969,lkc,Opponents Totals,41,91,38,130,,,,,,,,,
1969,har,Team Totals,57,85,49,73,,,,,,,,,
1969,har,Opponents Totals,54,101,57,86,,,,,,,,,
1969,llarm,Team Totals,83,53,49,129,,,,,,,,,
1969,llarm,Opponents Totals,73,106,118,92,,,,,,,,,
1969,min,Team Totals,57,47,35,79,,,,,,,,,
1969,min,Opponents Totals,63,114,85,142,,,,,,,,,
1969,larm,Team Totals,102,106,54,107,,,,,,,,,
1969,larm,Opponents Totals,62,64,48,49,,,,,,,,,
1969,bal,Team Totals,51,80,76,100,,,,,,,,,
1969,bal,Opponents Totals,68,82,65,104,,,,,,,,,
1969,lten,Team Totals,37,109,96,69,,,,,,,,,
1969,lten,Opponents Totals,87,143,70,93,,,,,,,,,
1969,dul,Team Totals,43,90,61,85,,,,,,,,,
1969,dul,Opponents Totals,87,77,114,99,,,,,,,,,
1969,atl,Team Totals,60,102,78,80,,,,,,,,,
1969,atl,Opponents Totals,53,82,37,71,,,,,,,,,
1969,ham,Team Totals,43,80,80,76,,,,,,,,,
1969,ham,Opponents Totals,48,90,76,54,,,,,,,,,
1969,jac,Team Totals,64,78,69,65,,,,,,,,,
1969,jac,Opponents Totals,65,96,38,69,,,,,,,,,
1969,lind,Team Totals,50,78,69,80,,,,,,,,,
1969,lind,Opponents Totals,46,68,89,116,,,,,,,,,
1969,was,Team Totals,84,119,72,104,,,,,,,,,
1969,was,Opponents Totals,6,51,27,49,,,,,,,,,
1969,col,Team Totals,33,106,50,70,,,,,,,,,
1969,col,Opponents Totals,34,68,31,55,,,,,,,,,
1969,tol,Team Totals,48,72,59,90,,,,,,,,,
1969,tol,Opponents Totals,53,87,55,26,,,,,,,,,
1969,ltb,Team Totals,30,86,57,37,,,,,,,,,
1969,ltb,Opponents Totals,79,88,76,96,,,,,,,,,
1970,lkc,Team Totals,60,110,63,88,,,,,,,,,
1970,lkc,Opponents Totals,61,77,48,48,,,,,,,,,
1970,har,Team Totals,82,84,45,86,,,,,,,,,
1970,har,Opponents Totals,35,85,45,63,,,,,,,,,
1970,llarm,Team Totals,56,74,82,43,,,,,,,,,
1970,llarm,Opponents Totals,52,63,86,85,,,,,,,,,
1970,min,Team Totals,54,70,21,59,,,,,,,,,
1970,min,Opponents Totals,67,96,84,90,,,,,,,,,
1970,larm,Team Totals,13,50,41,45,,,,,,,,,
1970,larm,Opponents Totals,92,131,55,83,,,,,,,,,
1970,bal,Team Totals,56,111,85,60,,,,,,,,,
1970,bal,Opponents Totals,49,82,52,72,,,,,,,,,
1970,lten,Team Totals,54,92,85,55,,,,,,,,,
1970,lten,Opponents Totals,54,100,37,74,,,,,,,,,
1970,dul,Team Totals,33,76,50,51,,,,,,,,,
1970,dul,Opponents Totals,63,65,82,62,,,,,,,,,
1970,atl,Team Totals,49,57,50,61,,,,,,,,,
1970,atl,Opponents Totals,51,92,89,120,,,,,,,,,
1970,ham,Team Totals,69,90,73,68,,,,,,,,,
1970,ham,Opponents Totals,36,106,57,94,,,,,,,,,
1970,jac,Team Totals,53,98,46,75,,,,,,,,,
1970,jac,Opponents Totals,32,77,51,84,,,,,,,,,
1970,lind,Team Totals,30,96,65,91,,,,,,,,,
1970,lind,Opponents Totals,36,111,68,63,,,,,,,,,
1970,was,Team Totals,44,60,45,104,,,,,,,,,
1970,was,Opponents Totals,74,93,57,40,,,,,,,,,
1970,col,Team Totals,36,82,93,88,,,,,,,,,
1970,col,Opponents Totals,59,49,55,58,,,,,,,,,
1970,tol,Team Totals,77,83,53,88,,,,,,,,,
1970,tol,Opponents Totals,30,87,83,70,,,,,,,,,
1970,ltb,Team Totals,56,91,77,101,,,,,,,,,
1970,ltb,Opponents Totals,58,71,23,76,,,,,,,,,
1970,lmin,Team Totals,68,75,72,82,,,,,,,,,
1970,lmin,Opponents Totals,51,89,83,91,,,,,,,,,
1970,c-p,Team Totals,45,75,55,66,,,,,,,,,
1970,c-p,Opponents Totals,70,126,73,63,,,,,,,,,
1970,chit,Team Totals,71,121,68,75,,,,,,,,,
1970,chit,Opponents Totals,44,39,36,24,,,,,,,,,
1970,nyj,Team Totals,65,111,71,100,,,,,,,,,
1970,nyj,Opponents Totals,61,44,23,74,,,,,,,,,
1970,dal,Team Totals,82,57,44,73,,,,,,,,,
1970,dal,Opponents Totals,48,60,75,78,,,,,,,,,
1970,latl,Team Totals,51,47,29,69,,,,,,,,,
1970,latl,Opponents Totals,47,49,73,124,,,,,,,,,
1970,lbuf,Team Totals,50,101,105,96,,,,,,,,,
1970,lbuf,Opponents Totals,88,66,37,76,,,,,,,,,
1970,stl,Team Totals,54,116,56,99,,,,,,,,,
1970,stl,Opponents Totals,40,67,47,48,,,,,,,,,
1970,det,Team Totals,44,39,54,69,,,,,,,,,
1970,det,Opponents Totals,45,87,55,74,,,,,,,,,
1970,lac,Team Totals,59,33,22,58,,,,,,,,,
1970,lac,Opponents Totals,68,87,76,116,,,,,,,,,
1971,lkc,Team Totals,81,76,79,79,,,,,,,,,
1971,lkc,Opponents Totals,65,23,44,42,,,,,,,,,
1971,har,Team Totals,62,95,78,78,,,,,,,,,
1971,har,Opponents Totals,17,45,27,51,,,,,,,,,
1971,llarm,Team Totals,41,64,69,64,,,,,,,,,
1971,llarm,Opponents Totals,82,105,54,84,,,,,,,,,
1971,min,Team Totals,45,65,45,57,,,,,,,,,
1971,min,Opponents Totals,69,84,81,65,,,,,,,,,
1971,larm,Team Totals,38,62,43,41,,,,,,,,,
1971,larm,Opponents Totals,82,110,83,119,,,,,,,,,
1971,bal,Team Totals,47,71,64,103,,,,,,,,,
1971,bal,Opponents Totals,51,120,23,79,,,,,,,,,
1971,lten,Team Totals,53,60,57,76,,,,,,,,,
1971,lten,Opponents Totals,69,117,42,64,,,,,,,,,
1971,dul,Team Totals,29,72,64,86,,,,,,,,,
1971,dul,Opponents Totals,78,110,44,98,,,,,,,,,
1971,atl,Team Totals,58,64,91,71,,,,,,,,,
1971,atl,Opponents Totals,44,71,48,102,,,,,,,,,
1971,ham,Team Totals,61,123,48,70,,,,,,,,,
1971,ham,Opponents Totals,41,71,22,74,,,,,,,,,
1971,jac,Team Totals,53,81,75,135,,,,,,,,,
1971,jac,Opponents Totals,51,73,54,100,,,,,,,,,
1971,lind,Team Totals,40,94,73,104,,,,,,,,,
1971,lind,Opponents Totals,62,95,94,90,,,,,,,,,
1971,was,Team Totals,39,62,32,70,,,,,,,,,
1971,was,Opponents Totals,54,74,86,61,,,,,,,,,
1971,col,Team Totals,96,139,69,102,,,,,,,,,
1971,col,Opponents Totals,62,59,32,69,,,,,,,,,
1971,tol,Team Totals,77,103,36,60,,,,,,,,,
1971,tol,Opponents Totals,26,42,39,83,,,,,,,,,
1971,ltb,Team Totals,51,66,42,62,,,,,,,,,
1971,ltb,Opponents Totals,16,113,77,96,,,,,,,,,
1971,lmin,Team Totals,54,89,37,51,,,,,,,,,
1971,lmin,Opponents Totals,61,73,49,96,,,,,,,,,
1971,c-p,Team Totals,58,93,21,56,,,,,,,,,
1971,c-p,Opponents Totals,105,105,99,53,,,,,,,,,
1971,chit,Team Totals,54,63,60,68,,,,,,,,,
1971,chit,Opponents Totals,26,33,26,54,,,,,,,,,
1971,nyj,Team Totals,70,117,96,58,,,,,,,,,
1971,nyj,Opponents Totals,52,105,55,74,,,,,,,,,
1971,dal,Team Totals,34,57,25,69,,,,,,,,,
1971,dal,Opponents Totals,63,96,57,60,,,,,,,,,
1971,latl,Team Totals,41,85,64,84,,,,,,,,,
1971,latl,Opponents Totals,57,72,78,91,,,,,,,,,
1971,lbuf,Team Totals,53,97,47,103,,,,,,,,,
1971,lbuf,Opponents Totals,16,67,70,63,,,,,,,,,
1971,stl,Team Totals,85,77,48,103,,,,,,,,,
1971,stl,Opponents Totals,40,76,75,69,,,,,,,,,
1971,det,Team Totals,74,86,48,66,,,,,,,,,
1971,det,Opponents Totals,57,82,68,70,,,,,,,,,
1971,lac,Team Totals,38,49,60,119,,,,,,,,,
1971,lac,Opponents Totals,86,89,44,128,,,,,,,,,
1972,lkc,Team Totals,94,108,98,85,,,,,,,,,
1972,lkc,Opponents Totals,36,47,29,59,,,,,,,,,
1972,har,Team Totals,99,118,49,101,,,,,,,,,
1972,har,Opponents Totals,46,116,57,105,,,,,,,,,
1972,llarm,Team Totals,48,70,58,59,,,,,,,,,
1972,llarm,Opponents Totals,57,70,47,78,,,,,,,,,
1972,min,Team Totals,35,95,38,89,,,,,,,,,
1972,min,Opponents Totals,79,92,89,117,,,,,,,,,
1972,larm,Team Totals,20,55,44,73,,,,,,,,,
1972,larm,Opponents Totals,66,165,117,98,,,,,,,,,
1972,bal,Team Totals,66,103,73,101,,,,,,,,,
1972,bal,Opponents Totals,28,40,46,61,,,,,,,,,
1972,lten,Team Totals,39,95,46,88,,,,,,,,,
1972,lten,Opponents Totals,61,57,72,59,,,,,,,,,
1972,dul,Team Totals,36,62,99,102,,,,,,,,,
1972,dul,Opponents Totals,37,79,42,71,,,,,,,,,
1972,atl,Team Totals,17,47,46,54,,,,,,,,,
1972,atl,Opponents Totals,81,99,73,127,,,,,,,,,
1972,ham,Team Totals,89,67,61,148,,,,,,,,,
1972,ham,Opponents Totals,55,93,33,67,,,,,,,,,
1972,jac,Team Totals,20,90,85,92,,,,,,,,,
1972,jac,Opponents Totals,55,98,37,64,,,,,,,,,
1972,lind,Team Totals,85,92,54,94,,,,,,,,,
1972,lind,Opponents Totals,35,120,81,114,,,,,,,,,
1972,was,Team Totals,51,81,33,99,,,,,,,,,
1972,was,Opponents Totals,75,96,85,88,,,,,,,,,
1972,col,Team Totals,30,105,92,109,,,,,,,,,
1972,col,Opponents Totals,58,56,43,61,,,,,,,,,
1972,tol,Team Totals,83,101,76,59,,,,,,,,,
1972,tol,Opponents Totals,25,86,50,79,,,,,,,,,
1972,ltb,Team Totals,56,142,44,89,,,,,,,,,
1972,ltb,Opponents Totals,32,93,47,75,,,,,,,,,
1972,lmin,Team Totals,20,79,56,38,,,,,,,,,
1972,lmin,Opponents Totals,36,92,75,100,,,,,,,,,
1972,c-p,Team Totals,46,56,16,27,,,,,,,,,
1972,c-p,Opponents Totals,60,108,100,84,,,,,,,,,
1972,chit,Team Totals,80,95,63,66,,,,,,,,,
1972,chit,Opponents Totals,37,68,49,72,,,,,,,,,
1972,nyj,Team Totals,46,120,72,101,,,,,,,,,
1972,nyj,Opponents Totals,41,86,72,91,,,,,,,,,
1972,dal,Team Totals,46,71,89,95,,,,,,,,,
1972,dal,Opponents Totals,37,45,59,111,,,,,,,,,
1972,latl,Team Totals,35,43,54,93,,,,,,,,,
1972,latl,Opponents Totals,76,100,53,46,,,,,,,,,
1972,lbuf,Team Totals,64,105,67,117,,,,,,,,,
1972,lbuf,Opponents Totals,48,63,63,75,,,,,,,,,
1972,stl,Team Totals,64,100,62,43,,,,,,,,,
1972,stl,Opponents Totals,67,46,79,82,,,,,,,,,
1972,det,Team Totals,53,97,94,47,,,,,,,,,
1972,det,Opponents Totals,53,90,57,86,,,,,,,,,
1972,lac,Team Totals,37,45,54,79,,,,,,,,,
1972,lac,Opponents Totals,78,137,68,78,,,,,,,,,
1973,lkc,Team Totals,106,117,53,67,,,,,,,,,
1973,lkc,Opponents Totals,19,50,35,46,,,,,,,,,
1973,har,Team Totals,64,71,61,63,,,,,,,,,
1973,har,Opponents Totals,58,84,38,50,,,,,,,,,
1973,llarm,Team Totals,48,69,74,67,,,,,,,,,
1973,llarm,Opponents Totals,57,86,77,70,,,,,,,,,
1973,min,Team Totals,58,64,54,64,,,,,,,,,
1973,min,Opponents Totals,71,104,61,70,,,,,,,,,
1973,larm,Team Totals,45,34,50,97,,,,,,,,,
1973,larm,Opponents Totals,53,108,64,116,,,,,,,,,
1973,bal,Team Totals,39,100,79,68,,,,,,,,,
1973,bal,Opponents Totals,50,61,58,62,,,,,,,,,
1973,lten,Team Totals,60,93,83,111,,,,,,,,,
1973,lten,Opponents Totals,56,56,27,71,,,,,,,,,
1973,dul,Team Totals,58,63,46,67,,,,,,,,,
1973,dul,Opponents Totals,50,76,69,60,,,,,,,,,
1973,atl,Team Totals,37,50,50,62,,,,,,,,,
1973,atl,Opponents Totals,87,138,101,121,,,,,,,,,
1973,ham,Team Totals,41,105,54,92,,,,,,,,,
1973,ham,Opponents Totals,30,26,65,54,,,,,,,,,
1973,jac,Team Totals,79,83,80,112,,,,,,,,,
1973,jac,Opponents Totals,57,98,72,69,,,,,,,,,
1973,lind,Team Totals,40,57,53,81,,,,,,,,,
1973,lind,Opponents Totals,30,71,35,56,,,,,,,,,
1973,was,Team Totals,29,61,34,64,,,,,,,,,
1973,was,Opponents Totals,95,102,93,96,,,,,,,,,
1973,col,Team Totals,73,108,79,122,,,,,,,,,
1973,col,Opponents Totals,47,64,33,59,,,,,,,,,
1973,tol,Team Totals,72,70,57,126,,,,,,,,,
1973,tol,Opponents Totals,44,62,45,47,,,,,,,,,
1973,ltb,Team Totals,55,77,103,75,,,,,,,,,
1973,ltb,Opponents Totals,90,121,61,121,,,,,,,,,
1973,lmin,Team Totals,65,53,66,102,,,,,,,,,
1973,lmin,Opponents Totals,60,100,58,147,,,,,,,,,
1973,c-p,Team Totals,39,78,17,92,,,,,,,,,
1973,c-p,Opponents Totals,77,82,90,113,,,,,,,,,
1973,chit,Team Totals,75,96,55,70,,,,,,,,,
1973,chit,Opponents Totals,26,62,39,41,,,,,,,,,
1973,nyj,Team Totals,54,90,52,75,,,,,,,,,
1973,nyj,Opponents Totals,55,96,46,50,,,,,,,,,
1973,dal,Team Totals,51,78,30,43,,,,,,,,,
1973,dal,Opponents Totals,52,64,40,103,,,,,,,,,
1973,latl,Team Totals,40,50,58,47,,,,,,,,,
1973,latl,Opponents Totals,50,120,75,89,,,,,,,,,
1973,lbuf,Team Totals,70,166,71,81,,,,,,,,,
1973,lbuf,Opponents Totals,39,49,26,64,,,,,,,,,
1973,stl,Team Totals,51,124,64,79,,,,,,,,,
1973,stl,Opponents Totals,38,76,56,54,,,,,,,,,
1973,det,Team Totals,27,55,47,34,,,,,,,,,
1973,det,Opponents Totals,39,90,100,83,,,,,,,,,
1973,lac,Team Totals,26,123,50,63,,,,,,,,,
1973,lac,Opponents Totals,72,89,56,102,,,,,,,,,
1974,lkc,Team Totals,35,105,76,111,,,,,,,,,
1974,lkc,Opponents Totals,31,50,57,78,,,,,,,,,
1974,har,Team Totals,53,84,37,90,,,,,,,,,
1974,har,Opponents Totals,28,64,77,75,,,,,,,,,
1974,llarm,Team Totals,86,116,64,82,,,,,,,,,
1974,llarm,Opponents Totals,68,92,49,80,,,,,,,,,
1974,min,Team Totals,56,102,48,67,,,,,,,,,6
1974,min,Opponents Totals,51,67,65,117,,,,,,,,,0
1974,larm,Team Totals,13,56,48,73,,,,,,,,,
1974,larm,Opponents Totals,51,142,62,74,,,,,,,,,
1974,bal,Team Totals,69,102,78,56,,,,,,,,,0
1974,bal,Opponents Totals,41,74,44,30,,,,,,,,,0
1974,lten,Team Totals,72,37,62,65,,,,,,,,,
1974,lten,Opponents Totals,66,81,55,80,,,,,,,,,
1974,dul,Team Totals,50,95,60,78,,,,,,,,,
1974,dul,Opponents Totals,37,63,70,89,,,,,,,,,
1974,atl,Team Totals,61,60,57,73,,,,,,,,,
1974,atl,Opponents Totals,62,103,116,63,,,,,,,,,
1974,ham,Team Totals,79,107,94,75,,,,,,,,,
1974,ham,Opponents Totals,70,32,68,58,,,,,,,,,
1974,jac,Team Totals,80,80,91,51,,,,,,,,,0
1974,jac,Opponents Totals,65,88,73,68,,,,,,,,,0
1974,lind,Team Totals,30,73,53,77,,,,,,,,,
1974,lind,Opponents Totals,57,110,34,92,,,,,,,,,
1974,was,Team Totals,21,61,54,76,,,,,,,,,
1974,was,Opponents Totals,68,76,62,79,,,,,,,,,
1974,col,Team Totals,56,80,100,49,,,,,,,,,
1974,col,Opponents Totals,50,58,34,76,,,,,,,,,
1974,tol,Team Totals,37,120,61,102,,,,,,,,,
1974,tol,Opponents Totals,49,41,71,35,,,,,,,,,
1974,ltb,Team Totals,64,65,72,96,,,,,,,,,
1974,ltb,Opponents Totals,23,120,63,29,,,,,,,,,
1974,lmin,Team Totals,49,88,75,30,,,,,,,,,
1974,lmin,Opponents Totals,34,65,65,53,,,,,,,,,
1974,c-p,Team Totals,43,78,45,29,,,,,,,,,0
1974,c-p,Opponents Totals,57,78,86,72,,,,,,,,,6
1974,chit,Team Totals,54,87,73,96,,,,,,,,,
1974,chit,Opponents Totals,26,70,17,82,,,,,,,,,
1974,nyj,Team Totals,39,80,53,84,,,,,,,,,
1974,nyj,Opponents Totals,40,86,93,51,,,,,,,,,
1974,dal,Team Totals,12,78,59,61,,,,,,,,,
1974,dal,Opponents Totals,48,61,40,57,,,,,,,,,
1974,latl,Team Totals,40,27,34,51,,,,,,,,,
1974,latl,Opponents Totals,44,102,49,84,,,,,,,,,
1974,lbuf,Team Totals,63,65,57,78,,,,,,,,,
1974,lbuf,Opponents Totals,3,85,45,48,,,,,,,,,
1974,stl,Team Totals,50,53,44,79,,,,,,,,,
1974,stl,Opponents Totals,47,67,54,68,,,,,,,,,
1974,det,Team Totals,30,64,34,38,,,,,,,,,
1974,det,Opponents Totals,72,89,33,69,,,,,,,,,
1974,lac,Team Totals,14,69,13,15,,,,,,,,,
1974,lac,Opponents Totals,68,68,60,75,,,,,,,,,
1975,lkc,Team Totals,96,130,72,94,,,,,,,,,3
1975,lkc,Opponents Totals,34,97,52,86,,,,,,,,,0
1975,har,Team Totals,44,116,99,98,,,,,,,,,0
1975,har,Opponents Totals,48,53,45,73,,,,,,,,,3
1975,llarm,Team Totals,97,121,112,90,,,,,,,,,
1975,llarm,Opponents Totals,65,132,62,96,,,,,,,,,
1975,min,Team Totals,37,107,38,76,,,,,,,,,
1975,min,Opponents Totals,67,77,110,104,,,,,,,,,
1975,larm,Team Totals,64,72,58,64,,,,,,,,,
1975,larm,Opponents Totals,92,119,120,102,,,,,,,,,
1975,bal,Team Totals,63,118,81,111,,,,,,,,,
1975,bal,Opponents Totals,9,62,23,68,,,,,,,,,
1975,lten,Team Totals,84,120,54,82,,,,,,,,,
1975,lten,Opponents Totals,36,77,68,65,,,,,,,,,
1975,dul,Team Totals,49,84,81,79,,,,,,,,,
1975,dul,Opponents Totals,37,100,25,64,,,,,,,,,
1975,atl,Team Totals,32,42,59,85,,,,,,,,,
1975,atl,Opponents Totals,92,119,60,101,,,,,,,,,
1975,ham,Team Totals,73,110,92,94,,,,,,,,,6
1975,ham,Opponents Totals,63,77,38,77,,,,,,,,,0
1975,jac,Team Totals,36,86,44,85,,,,,,,,,3
1975,jac,Opponents Totals,54,81,88,84,,,,,,,,,0
1975,lind,Team Totals,64,86,47,82,,,,,,,,,3
1975,lind,Opponents Totals,48,93,98,102,,,,,,,,,0
1975,was,Team Totals,37,54,55,43,,,,,,,,,0
1975,was,Opponents Totals,90,102,69,78,,,,,,,,,6
1975,col,Team Totals,96,83,82,92,,,,,,,,,3
1975,col,Opponents Totals,38,61,79,92,,,,,,,,,6
1975,tol,Team Totals,36,115,88,105,,,,,,,,,6
1975,tol,Opponents Totals,57,68,51,86,,,,,,,,,6
1975,ltb,Team Totals,49,109,44,117,,,,,,,,,6
1975,ltb,Opponents Totals,29,88,63,90,,,,,,,,,6
1975,lmin,Team Totals,34,50,65,67,,,,,,,,,
1975,lmin,Opponents Totals,90,99,22,95,,,,,,,,,
1975,c-p,Team Totals,52,66,33,74,,,,,,,,,
1975,c-p,Opponents Totals,43,108,50,101,,,,,,,,,
1975,chit,Team Totals,83,128,71,95,,,,,,,,,
1975,chit,Opponents Totals,48,57,25,50,,,,,,,,,
1975,nyj,Team Totals,54,49,61,81,,,,,,,,,0
1975,nyj,Opponents Totals,47,53,95,34,,,,,,,,,3
1975,dal,Team Totals,37,45,49,60,,,,,,,,,
1975,dal,Opponents Totals,65,137,72,105,,,,,,,,,
1975,latl,Team Totals,53,64,40,69,,,,,,,,,
1975,latl,Opponents Totals,64,77,79,65,,,,,,,,,
1975,lbuf,Team Totals,65,71,71,102,,,,,,,,,3
1975,lbuf,Opponents Totals,15,35,34,51,,,,,,,,,0
1975,stl,Team Totals,31,87,49,88,,,,,,,,,
1975,stl,Opponents Totals,43,73,72,98,,,,,,,,,
1975,det,Team Totals,47,72,41,80,,,,,,,,,0
1975,det,Opponents Totals,58,91,66,71,,,,,,,,,3
1975,lac,Team Totals,16,48,40,61,,,,,,,,,
1975,lac,Opponents Totals,97,97,60,106,,,,,,,,,
1976,lkc,Team Totals,72,175,77,93,,,,,,,,,
1976,lkc,Opponents Totals,46,84,31,85,,,,,,,,,
1976,har,Team Totals,54,133,97,92,,,,,,,,,
1976,har,Opponents Totals,40,91,30,75,,,,,,,,,
1976,llarm,Team Totals,27,98,64,74,,,,,,,,,0
1976,llarm,Opponents Totals,31,93,62,75,,,,,,,,,3
1976,min,Team Totals,46,53,20,50,,,,,,,,,
1976,min,Opponents Totals,67,135,108,73,,,,,,,,,
1976,larm,Team Totals,35,67,58,85,,,,,,,,,
1976,larm,Opponents Totals,50,140,96,77,,,,,,,,,
1976,bal,Team Totals,44,85,90,123,,,,,,,,,
1976,bal,Opponents Totals,15,44,29,50,,,,,,,,,
1976,lten,Team Totals,91,85,91,68,,,,,,,,,
1976,lten,Opponents Totals,44,63,49,54,,,,,,,,,
1976,dul,Team Totals,53,92,56,66,,,,,,,,,
1976,dul,Opponents Totals,62,83,66,76,,,,,,,,,
1976,atl,Team Totals,22,57,54,89,,,,,,,,,
1976,atl,Opponents Totals,35,79,64,95,,,,,,,,,
1976,ham,Team Totals,64,114,73,99,,,,,,,,,
1976,ham,Opponents Totals,60,48,61,68,,,,,,,,,
1976,jac,Team Totals,70,71,88,86,,,,,,,,,
1976,jac,Opponents Totals,30,87,36,53,,,,,,,,,
1976,lind,Team Totals,43,84,40,75,,,,,,,,,6
1976,lind,Opponents Totals,67,71,43,104,,,,,,,,,0
1976,was,Team Totals,49,95,71,72,,,,,,,,,3
1976,was,Opponents Totals,95,71,83,127,,,,,,,,,0
1976,col,Team Totals,23,37,16,49,,,,,,,,,
1976,col,Opponents Totals,61,130,106,115,,,,,,,,,
1976,tol,Team Totals,49,117,65,65,,,,,,,,,
1976,tol,Opponents Totals,17,58,34,85,,,,,,,,,
1976,ltb,Team Totals,46,74,73,95,,,,,,,,,3
1976,ltb,Opponents Totals,39,68,40,70,,,,,,,,,0
1976,lmin,Team Totals,60,80,75,91,,,,,,,,,3
1976,lmin,Opponents Totals,67,70,38,92,,,,,,,,,0
1976,c-p,Team Totals,34,53,23,55,,,,,,,,,0
1976,c-p,Opponents Totals,41,100,69,73,,,,,,,,,3
1976,chit,Team Totals,33,54,38,45,,,,,,,,,
1976,chit,Opponents Totals,46,94,31,79,,,,,,,,,
1976,nyj,Team Totals,47,102,56,100,,,,,,,,,0
1976,nyj,Opponents Totals,39,35,43,59,,,,,,,,,0
1976,dal,Team Totals,69,47,99,38,,,,,,,,,
1976,dal,Opponents Totals,23,80,34,79,,,,,,,,,
1976,latl,Team Totals,49,98,34,81,,,,,,,,,
1976,latl,Opponents Totals,27,50,78,65,,,,,,,,,
1976,lbuf,Team Totals,60,50,34,74,,,,,,,,,
1976,lbuf,Opponents Totals,46,128,60,65,,,,,,,,,
1976,stl,Team Totals,62,81,79,129,,,,,,,,,0
1976,stl,Opponents Totals,37,38,81,34,,,,,,,,,0
1976,det,Team Totals,50,91,49,80,,,,,,,,,0
1976,det,Opponents Totals,35,52,44,50,,,,,,,,,9
1976,lac,Team Totals,7,61,33,71,,,,,,,,,
1976,lac,Opponents Totals,41,86,77,108,,,,,,,,,
1976,ton,Team Totals,23,83,75,72,,,,,,,,,
1976,ton,Opponents Totals,69,116,69,92,,,,,,,,,
1976,nyb,Team Totals,39,73,61,56,,,,,,,,,
1976,nyb,Opponents Totals,91,116,127,95,,,,,,,,,
1977,lkc,Team Totals,66,85,85,59,,,,,,,,,
1977,lkc,Opponents Totals,41,74,33,73,,,,,,,,,
1977,har,Team Totals,86,113,60,54,,,,,,,,,
1977,har,Opponents Totals,52,48,33,64,,,,,,,,,
1977,llarm,Team Totals,79,65,74,60,,,,,,,,,0
1977,llarm,Opponents Totals,58,23,61,72,,,,,,,,,3
1977,min,Team Totals,49,47,20,75,,,,,,,,,
1977,min,Opponents Totals,88,89,44,79,,,,,,,,,
1977,larm,Team Totals,41,39,33,47,,,,,,,,,
1977,larm,Opponents Totals,57,113,81,62,,,,,,,,,
1977,bal,Team Totals,30,109,47,97,,,,,,,,,
1977,bal,Opponents Totals,59,71,44,69,,,,,,,,,
1977,lten,Team Totals,75,71,35,54,,,,,,,,,3
1977,lten,Opponents Totals,38,97,36,64,,,,,,,,,0
1977,dul,Team Totals,37,111,61,90,,,,,,,,,0
1977,dul,Opponents Totals,58,70,28,71,,,,,,,,,3
1977,atl,Team Totals,63,77,40,86,,,,,,,,,3
1977,atl,Opponents Totals,68,100,38,61,,,,,,,,,0
1977,ham,Team Totals,68,72,60,74,,,,,,,,,
1977,ham,Opponents Totals,45,46,40,17,,,,,,,,,
1977,jac,Team Totals,95,96,102,58,,,,,,,,,
1977,jac,Opponents Totals,36,89,48,57,,,,,,,,,
1977,lind,Team Totals,70,65,29,58,,,,,,,,,
1977,lind,Opponents Totals,37,34,52,82,,,,,,,,,
1977,was,Team Totals,52,106,57,67,,,,,,,,,
1977,was,Opponents Totals,101,105,65,102,,,,,,,,,
1977,col,Team Totals,73,50,23,79,,,,,,,,,
1977,col,Opponents Totals,92,99,79,79,,,,,,,,,
1977,tol,Team Totals,64,129,53,93,,,,,,,,,6
1977,tol,Opponents Totals,33,73,69,37,,,,,,,,,0
1977,ltb,Team Totals,64,42,33,57,,,,,,,,,
1977,ltb,Opponents Totals,17,37,32,103,,,,,,,,,
1977,lmin,Team Totals,44,89,55,84,,,,,,,,,
1977,lmin,Opponents Totals,54,81,73,79,,,,,,,,,
1977,c-p,Team Totals,24,60,44,53,,,,,,,,,0
1977,c-p,Opponents Totals,64,79,41,78,,,,,,,,,3
1977,chit,Team Totals,34,81,40,65,,,,,,,,,
1977,chit,Opponents Totals,42,64,43,58,,,,,,,,,
1977,nyj,Team Totals,52,55,48,70,,,,,,,,,6
1977,nyj,Opponents Totals,55,76,59,31,,,,,,,,,6
1977,dal,Team Totals,50,56,37,109,,,,,,,,,3
1977,dal,Opponents Totals,60,73,37,77,,,,,,,,,6
1977,latl,Team Totals,34,29,47,73,,,,,,,,,
1977,latl,Opponents Totals,48,95,56,53,,,,,,,,,
1977,lbuf,Team Totals,53,49,22,10,,,,,,,,,
1977,lbuf,Opponents Totals,44,76,21,78,,,,,,,,,
1977,stl,Team Totals,16,41,19,27,,,,,,,,,
1977,stl,Opponents Totals,61,59,46,57,,,,,,,,,
1977,det,Team Totals,68,102,41,91,,,,,,,,,
1977,det,Opponents Totals,34,45,30,37,,,,,,,,,
1977,lac,Team Totals,13,61,51,54,,,,,,,,,
1977,lac,Opponents Totals,27,30,34,38,,,,,,,,,
1977,ton,Team Totals,47,58,71,41,,,,,,,,,3
